article_id,cause,effect,relation_type,polarity,confidence,evidence
article_01,생성형AI채택,신입고용감소,causes,negative,0.85,생성형 AI를 채택한 기업에서 신입 고용은 급격히 감소한 반면 경력 고용은 지속적으로 증가했다
article_01,AI고노출직종,22~25세고용13%감소,causes,negative,0.8,소프트웨어 개발·고객 지원 등 AI 노출도가 높은 직종에서 22~25세 고용이 AI 노출도가 낮은 직종보다 약 13% 감소했다
article_01,AI영향률확대,청년층고용임금축소,causes,negative,0.75,실증분석 결과 2017~2022년 사이에 발생한 AI 영향률의 확대가 유독 청년층 고용 혹은 임금을 축소하는 방향으로 이어졌다
article_02,챗GPT상용화(2023년),중소기업AI노출직종채용공고56%감소,causes,negative,0.75,AI로 대체될 가능성이 높은 직군 34개 직종의 채용공고가 2022년 10만4441개에서 지난해 4만5675개로 3년 만에 56.3% 줄었다
article_02,경기침체,채용공고감소,contributes_to,negative,0.7,2022~2023년 물가 상승과 내수침체 등 국내 경기 변동 요인이 함께 작용했을 것
article_02,AI도입,경력직우대현상심화,causes,negative,0.72,생성형 AI 확산 전후로 경력직 우대 현상이 이어지는 정황이 나타났다
article_03,생성형AI서비스확산,미디어직군채용공고23%감소,causes,negative,0.75,"콘텐츠 제작이나 글쓰기, 통역과 번역 같은 미디어 직군 채용 공고가 2022년 1분기 대비 23%나 감소했다"
article_03,AI플랫폼확산,마케터디자이너구조조정,causes,negative,0.7,AI를 이용한 플랫폼이 많아지면서 마케터와 디자이너 인력을 구조조정하는 기업이 부쩍 늘고 있다
article_04,AI가신입회계사단순업무대체,공인회계사미지정600명발생,causes,negative,0.78,국내 주요 회계법인들이 1~3년차 신입 회계사들이 하던 단순 반복 업무를 AI에 시킨 것은 꽤 됐다
article_04,AI고노출업종확산,청년층일자리21만1000개감소,causes,negative,0.82,한은은 지난 3년간 청년층 일자리는 21만1000개 줄었는데 이 가운데 20만8000개가 AI 고노출 업종이라고 밝혔다
article_04,AI생산성증가(장기),노동수요확대가능성,enables,positive,0.5,AI로 인한 생산성 증가가 중장기적으로 노동수요 확대 요인으로 작용하면서 청년층이 수혜의 중심으로 부상할 수도 있다
article_05,AI도입+비용절감압박,대기업대규모감원,causes,negative,0.8,대규모 감원 사태의 배경에는 AI 도입과 비용 절감 압박이 자리하고 있다
article_05,대기업감원+신입채용축소,취업사다리소멸,causes,negative,0.82,올해 졸업 예정 대학생들은 지난해 졸업생보다 더 많은 지원서를 냈지만 채용 제안은 오히려 줄었다
article_06,AI발전가속화,화이트칼라직무대체율2027년70.96%전망,causes,negative,0.7,"2024년 화이트칼라 직무대체율 평균 41.41%, 2027년에는 70.96%로 확대될 전망"
